"TERM";"URI";"HIT SCORE";"PONDERATED SCORE";"TERM MATCHED";"TERM SIMILARITY"
"BENZODIAZEPINE OVERDOSE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C1012";31.949322;64.9873305;"Benzodiazepine";76
"CORONARY ARTERY DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26732";400.30338;175.07584500000002;"Coronary Artery Disease";100
"CORONARY ARTERY BYPASS GRAFT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51998";76.651276;94.162819;"CORONARY ARTERY BYPASS GRAFT";100
"SDA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C92626";26.544544;81.636136;"SDA";100
"BRAIN MASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35509";183.68126;120.920315;"Brain Mass";100
"INTERIOR MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35398";52.80133;79.9503325;"INFERIOR WALL MYOCARDIAL INFARCTION";89
"ACUTE CORONARY SYNDROME";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C53652";53.626335;88.40658375;"Acute Coronary Syndrome";100
"V";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C14533";19.600035;79.90000875;"V";100
"TACH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C44241";21.714195;72.17854875;"Tachi";89
"NEWBORN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C81178";27.7597;50.439925;"Newborn Screening";58
"UNSTABLE ANGINA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C66911";52.678734;88.1696835;"UNSTABLE ANGINA";100
"CATH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C14191";24.596813;70.64920325;"CAT";86
"STATUS EPILEPTICUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C85079";44.10238;86.025595;"Status Epilepticus";100
"TRACHEAL STENOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143883";46.789234;86.6973085;"Tracheal Stenosis";100
"SEPSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143827";30.249275;82.56231875;"Sepsis";100
"TELEMETRY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50211";38.801685;84.70042125;"Telemetry";100
"CHEST PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38665";93.16129;98.2903225;"Chest Pain";100
"BRADYCARDIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C111120";30.918865;82.72971625;"BRADYCARDIA";100
"AORTIC VALVE DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143290";361.107;165.27675;"Aortic Valve Disease";100
"CORONARY ARTERY BYPASS GRAFT WITH AVR ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51998";76.651276;83.662819;"CORONARY ARTERY BYPASS GRAFT";86
"CORONARY ARTERY BYPASS GRAFT ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51998";76.651276;94.162819;"CORONARY ARTERY BYPASS GRAFT";100
"SHORTNESS OF BREATH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C99773";78.18838;94.547095;"Shortness of breath";100
"VENTRAL HERNIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C118313";44.981285;86.24532125;"Ventral Hernia";100
"CONGESTIVE HEART FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3080";65.016624;91.254156;"Congestive Heart Failure";100
"ACUTE MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38985";52.436382;88.1090955;"Acute Myocardial Infarction";100
"RIGHT BRAIN STEM LESION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12441";40.791656;60.447914;"BRAIN, BRAIN STEM";67
"GASTROINTESTINAL BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C48592";36.3934;84.09835;"Gastrointestinal Bleed";100
"SEIZURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2962";44.95752;86.23938;"Seizure";100
"PNEUMONIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3333";26.847857;81.71196425;"Pneumonia";100
"ALTERED MENTAL STATUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C121628";57.978275;89.49456875;"Altered Mental Status";100
"R";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C69284";20.369678;17.8424195;"RR Interval";17
"O MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143691";40.13327;81.2833175;"Myocardial Infarction";95
